iter	RMSE
0	1.003412864
1	0.9819640027
2	0.9725861154
3	0.9642205142
4	0.9563996866
5	0.9489765685
6	0.9270230343
7	0.9189640694
8	0.9119904413
9	0.9060995354
10	0.9014967942
11	0.8958354506
12	0.8905508333
13	0.8842371107
14	0.8770861069
15	0.8551343298
16	0.8367524809
17	0.8319696954
18	0.8269357485
19	0.811508372
20	0.7965655527
21	0.7864055243
22	0.7725386836
23	0.7695738458
24	0.7513015896
25	0.7424433073
26	0.7287630538
27	0.7179776365
28	0.703852146
29	0.6884675884
30	0.6832841181
31	0.6793461603
32	0.6728560335
33	0.655061693
34	0.6481393915
35	0.644899807
36	0.630178516
37	0.6270033882
38	0.6250062851
39	0.6137217026
40	0.6121698436
41	0.5972601974
42	0.5925090831
43	0.5807307633
44	0.5702489736
45	0.5671925663
46	0.5641529831
47	0.563067627
48	0.5497218726
49	0.5413190019
50	0.5303805311
51	0.5198490404
52	0.5106496573
53	0.509140658
54	0.5067233742
55	0.5052447649
56	0.5041663003
57	0.5015011467
58	0.4932393521
59	0.4853565715
60	0.4757022624
61	0.4707663716
62	0.4665334919
63	0.4656586698
64	0.4575379262
65	0.4567086349
66	0.4546759069
67	0.4524733163
68	0.4511094665
69	0.446670889
70	0.4392846465
71	0.438382746
72	0.4377661929
73	0.4279924644
74	0.4198231468
75	0.415973472
76	0.4149030106
77	0.4139229816
78	0.4112498966
79	0.4040535461
80	0.4033216687
81	0.3985447622
82	0.396840697
83	0.3895506582
84	0.3835824193
85	0.3818528698
86	0.3803792308
87	0.3788862543
88	0.3767901973
89	0.3733461674
90	0.3717555087
91	0.3666106527
92	0.3603058774
93	0.3595738598
94	0.3590009899
95	0.3539516352
96	0.3534783305
97	0.3496457806
98	0.3473482424
99	0.3406912237
100	0.333639627
101	0.3273355824
102	0.3268326058
103	0.323049375
104	0.3172777477
105	0.3162423534
106	0.3155314111
107	0.3116923223
108	0.3110096661
109	0.3102724202
110	0.3047815046
111	0.3018477434
112	0.3004817151
113	0.2978936354
114	0.2973669309
115	0.2951278293
116	0.2906736042
117	0.2848549078
118	0.2796221197
119	0.2784688151
120	0.2749178914
121	0.2743421095
122	0.2738032536
123	0.2724178792
124	0.2719647743
125	0.2711240731
126	0.2651571199
127	0.2644239667
128	0.2639229755
129	0.2605295365
130	0.2575094552
131	0.2559951719
132	0.255388277
133	0.2498525436
134	0.2492750868
135	0.2488077662
136	0.2457372458
137	0.2452337345
138	0.2423342402
139	0.2418952372
140	0.2401798523
141	0.2360429496
142	0.232453519
143	0.2319030496
144	0.2314190724
145	0.2285735053
146	0.2281521629
147	0.2277212361
148	0.2272754913
149	0.2268661692
150	0.2263855369
151	0.2250766691
152	0.2222994367
153	0.2186193373
154	0.215484449
155	0.2118960034
156	0.2115824032
157	0.2074358168
158	0.2052659159
159	0.2045188024
160	0.2039761911
161	0.2035313374
162	0.2030427822
163	0.2025629927
164	0.1998710676
165	0.1970322749
166	0.1942809991
167	0.1920853079
168	0.1917269011
169	0.1888927786
170	0.188555867
171	0.1881631594
172	0.187874757
173	0.1874094392
174	0.1866791172
175	0.1832949583
176	0.1829719078
177	0.1802061342
178	0.1795380033
179	0.1792141075
180	0.178923577
181	0.1786009335
182	0.1780446384
183	0.1776783437
184	0.1756750823
185	0.1720475705
186	0.1717679078
187	0.1689278145
188	0.168575428
189	0.1654090006
190	0.1651420824
191	0.1638391503
192	0.1634738218
193	0.1620492514
194	0.1615306893
195	0.1611535861
196	0.1587049279
197	0.1579137546
198	0.1575682353
199	0.1572241541
200	0.1569888224
