iter	Passed	Remaining
0	3	3081
1	6	3079
2	9	3003
3	11	2960
4	15	2989
5	17	2961
6	20	2929
7	23	2956
8	26	2910
9	29	2903
10	32	2926
11	35	2905
12	38	2903
13	41	2903
14	44	2893
15	46	2883
16	49	2874
17	53	2912
18	56	2927
19	59	2925
20	62	2914
21	65	2909
22	68	2896
23	71	2898
24	74	2889
25	76	2876
26	79	2880
27	82	2878
28	85	2877
29	89	2892
30	93	2914
31	98	2989
32	102	3000
33	104	2979
34	108	2992
35	114	3070
36	119	3102
37	124	3157
38	128	3157
39	131	3165
40	136	3201
41	141	3218
42	146	3266
43	150	3259
44	155	3296
45	160	3324
46	166	3366
47	172	3422
48	178	3457
49	185	3523
50	190	3548
51	195	3570
52	201	3597
53	206	3617
54	210	3618
55	215	3637
56	221	3661
57	227	3694
58	232	3705
59	237	3722
60	244	3759
61	250	3782
62	254	3780
63	260	3812
64	264	3806
65	267	3790
66	271	3785
67	278	3815
68	283	3825
69	288	3838
70	293	3837
71	299	3855
72	301	3831
73	307	3853
74	314	3875
75	319	3885
76	325	3896
77	332	3927
78	338	3942
79	342	3942
80	350	3976
81	355	3975
82	356	3938
83	361	3944
84	367	3957
85	373	3966
86	378	3968
87	382	3962
88	384	3940
89	393	3974
90	397	3967
91	402	3974
92	406	3968
93	412	3974
94	413	3939
95	418	3942
96	419	3906
97	424	3911
98	428	3903
99	432	3892
100	438	3901
101	442	3897
102	445	3879
103	450	3882
104	456	3887
105	462	3898
106	468	3907
107	471	3896
108	473	3873
109	478	3871
110	482	3863
111	487	3865
112	493	3874
113	495	3849
114	497	3825
115	500	3814
116	504	3807
117	509	3811
118	513	3803
119	518	3805
120	524	3811
121	528	3801
122	532	3795
123	536	3787
124	541	3792
125	547	3798
126	553	3802
127	557	3798
128	559	3776
129	562	3765
130	567	3766
131	572	3767
132	574	3746
133	579	3747
134	586	3755
135	590	3751
136	594	3745
137	596	3726
138	601	3727
139	606	3728
140	610	3721
141	616	3726
142	622	3730
143	627	3727
144	630	3717
145	635	3719
146	637	3697
147	639	3680
148	644	3681
149	650	3688
150	656	3689
151	661	3692
152	667	3697
153	673	3699
154	676	3689
155	681	3685
156	685	3682
157	690	3677
158	695	3679
159	701	3681
160	705	3678
161	710	3673
162	713	3664
163	715	3646
164	720	3648
165	724	3642
166	730	3645
167	737	3650
168	738	3632
169	744	3636
170	749	3633
171	752	3621
172	754	3607
173	757	3597
174	762	3595
175	768	3597
176	770	3581
177	776	3583
178	779	3577
179	785	3578
180	791	3581
181	796	3580
182	800	3575
183	806	3577
184	808	3560
185	814	3565
186	818	3560
187	822	3552
188	826	3544
189	829	3536
190	832	3524
191	835	3515
192	836	3499
193	841	3497
194	846	3494
195	848	3481
196	852	3475
197	856	3468
198	859	3460
199	863	3454
200	865	3438
201	870	3438
202	876	3440
203	882	3444
204	888	3445
205	892	3438
206	895	3429
207	897	3415
208	899	3405
209	902	3395
210	906	3389
211	910	3382
212	912	3369
213	914	3358
214	919	3358
215	925	3359
216	932	3363
217	935	3356
218	936	3341
219	942	3342
220	947	3341
221	953	3342
222	958	3338
223	964	3341
224	969	3339
225	974	3336
226	979	3336
227	981	3323
228	985	3317
229	986	3301
230	988	3290
231	990	3280
232	993	3269
233	996	3262
234	998	3249
235	1003	3248
236	1007	3244
237	1012	3240
238	1016	3235
239	1017	3222
240	1020	3214
241	1025	3213
242	1031	3213
243	1036	3210
244	1041	3209
245	1045	3205
246	1049	3198
247	1053	3195
248	1059	3194
249	1063	3190
250	1067	3186
251	1072	3184
252	1077	3181
253	1081	3176
254	1087	3178
255	1093	3178
256	1095	3168
257	1100	3166
258	1102	3155
259	1108	3154
260	1113	3152
261	1117	3146
262	1120	3140
263	1125	3137
264	1130	3134
265	1135	3132
266	1140	3131
267	1146	3131
268	1149	3122
269	1154	3121
270	1159	3118
271	1160	3106
272	1164	3100
273	1170	3101
274	1175	3100
275	1180	3095
276	1185	3095
277	1192	3096
278	1197	3093
279	1199	3084
280	1206	3086
281	1208	3076
282	1210	3067
283	1212	3056
284	1216	3050
285	1221	3049
286	1225	3043
287	1229	3039
288	1232	3030
289	1235	3024
290	1240	3021
291	1245	3019
292	1247	3010
293	1251	3005
294	1254	2997
295	1256	2989
296	1260	2982
297	1263	2976
298	1266	2969
299	1269	2961
300	1270	2950
301	1273	2943
302	1276	2936
303	1279	2928
304	1282	2921
305	1284	2914
306	1287	2907
307	1290	2900
308	1293	2893
309	1294	2882
310	1296	2871
311	1299	2864
312	1301	2857
313	1304	2850
314	1307	2844
315	1310	2837
316	1313	2830
317	1316	2823
318	1319	2816
319	1322	2809
320	1325	2803
321	1328	2796
322	1331	2791
323	1334	2784
324	1337	2778
325	1340	2772
326	1343	2765
327	1346	2759
328	1349	2753
329	1352	2746
330	1355	2740
331	1358	2733
332	1361	2726
333	1364	2721
334	1367	2714
335	1370	2708
336	1373	2702
337	1376	2695
338	1380	2692
339	1383	2685
340	1385	2676
341	1388	2671
342	1389	2662
343	1392	2655
344	1395	2650
345	1398	2643
346	1400	2634
347	1403	2629
348	1406	2623
349	1407	2614
350	1410	2608
351	1413	2602
352	1416	2596
353	1419	2590
354	1422	2584
355	1425	2579
356	1429	2574
357	1432	2569
358	1436	2565
359	1442	2563
360	1446	2559
361	1449	2554
362	1454	2551
363	1459	2550
364	1461	2542
365	1465	2538
366	1470	2536
367	1475	2534
368	1481	2533
369	1484	2528
370	1490	2527
371	1495	2525
372	1502	2525
373	1508	2524
374	1513	2522
375	1518	2520
376	1523	2518
377	1529	2517
378	1534	2513
379	1539	2511
380	1543	2508
381	1549	2506
382	1554	2504
383	1560	2503
384	1565	2500
385	1571	2499
386	1578	2499
387	1583	2498
388	1588	2495
389	1595	2495
390	1602	2495
391	1608	2495
392	1613	2492
393	1618	2488
394	1624	2487
395	1630	2486
396	1635	2483
397	1642	2484
398	1649	2484
399	1654	2481
400	1659	2479
401	1665	2478
402	1673	2478
403	1678	2476
404	1685	2475
405	1690	2473
406	1695	2470
407	1701	2469
408	1707	2467
409	1713	2465
410	1720	2465
411	1726	2463
412	1730	2460
413	1735	2456
414	1739	2451
415	1745	2449
416	1750	2447
417	1755	2443
418	1760	2441
419	1766	2439
420	1771	2436
421	1776	2433
422	1782	2431
423	1785	2426
424	1790	2423
425	1796	2420
426	1802	2418
427	1808	2417
428	1813	2414
429	1820	2413
430	1825	2410
431	1831	2408
432	1837	2405
433	1844	2404
434	1849	2401
435	1854	2398
436	1859	2395
437	1864	2392
438	1869	2389
439	1875	2387
440	1879	2382
441	1883	2377
442	1889	2375
443	1894	2372
444	1899	2369
445	1905	2366
446	1911	2364
447	1916	2361
448	1923	2360
449	1927	2355
450	1932	2352
451	1937	2348
452	1942	2345
453	1948	2343
454	1953	2339
455	1959	2337
456	1965	2335
457	1972	2334
458	1977	2330
459	1983	2328
460	1989	2325
461	1992	2320
462	1998	2318
463	2002	2313
464	2008	2311
465	2015	2309
466	2020	2305
467	2025	2302
468	2031	2299
469	2038	2299
470	2045	2297
471	2051	2294
472	2055	2289
473	2060	2286
474	2065	2282
475	2071	2279
476	2077	2277
477	2083	2275
478	2087	2270
479	2092	2267
480	2097	2263
481	2102	2259
482	2108	2256
483	2114	2254
484	2118	2249
485	2123	2246
486	2128	2241
487	2134	2239
488	2140	2236
